ID,Cluster,theta_mean,omega_mean,r_mean,motor,num_unlock,solved,unlock_time,success_rate
D001,1,0.2396457644493745,1.2200598154063933,0.1132606343992264,0.7857142857142857,5,1,122.96,0.3571428571428571
D002,0,0.0815346647089621,1.217224116504425,0.0415812006347611,0.9411764705882352,3,0,300.0,0.088235294117647
D003,0,0.0808982086614252,1.218376494287838,0.0442100939205237,0.96875,3,0,300.0,0.09375
D004,0,0.0768831259474067,1.2154103943540964,0.0411359956447556,1.0,5,1,170.27,0.1136363636363636
D005,0,0.102444750831164,1.227296967234331,0.0603793645777101,0.962962962962963,4,0,300.0,0.1481481481481481
D006,0,0.1726756234913753,1.2155015065632806,0.100516334055951,1.0,5,1,128.11,0.3125
D007,0,0.0833002329261142,1.2137107679091546,0.0423160859891977,0.9761904761904762,5,1,285.77,0.119047619047619
D008,0,0.0898024467387288,1.2134778852798391,0.0470754198369373,0.9736842105263158,5,1,221.92,0.131578947368421
D009,0,0.0531700701134088,1.2227892694330131,0.0292729490289196,1.0,3,0,300.0,0.06
D010,0,0.0934484344808494,1.2312371444880117,0.056825732535597,0.9696969696969696,5,1,195.23,0.1515151515151515
D011,0,0.0650742102678814,1.2263860524985584,0.0376425241172152,1.0,5,1,111.69,0.1
D012,0,0.0989251905270287,1.2176355528869731,0.0508591419808483,0.9428571428571428,5,1,111.69,0.1428571428571428
D013,0,0.1984700235485591,1.2179513641045503,0.1201968593135741,1.0,5,1,182.53,0.3846153846153846
D014,0,0.0616148222345926,1.2274948662377037,0.0364498216611966,1.0,2,0,300.0,0.0571428571428571
D015,0,0.0318166440120727,1.2165210586306752,0.0155296351296562,0.9444444444444444,1,0,300.0,0.0138888888888888
D017,0,0.0893868553747725,1.2195882008164396,0.0503051307345586,1.0,5,1,155.07,0.1388888888888889
D019,0,0.0472389748496884,1.2252416711275396,0.0245150242587441,0.9705882352941176,4,0,300.0,0.0588235294117647
D020,0,0.1674613373889104,1.224266846379131,0.1049596845351234,1.0,5,1,147.53,0.3125
D021,0,0.0518396662175591,1.2178857448188216,0.0258204964836162,0.9387755102040816,2,0,300.0,0.0408163265306122
D022,0,0.2058196599989523,1.2193340806685065,0.1332566232549732,1.0,5,1,129.07,0.4166666666666667
D023,0,0.0499051871204114,1.228755892244383,0.0276527707767343,0.967741935483871,4,0,300.0,0.064516129032258
D024,0,0.1431627160740221,1.2347429802396717,0.0899495755721909,0.95,5,1,229.6,0.25
D025,0,0.0660497759302097,1.2202086521526552,0.0361379656147581,1.0,3,0,300.0,0.075
D026,0,0.0964585951655753,1.2245952674304676,0.0572609785695463,1.0,4,0,300.0,0.1428571428571428
D027,0,0.0728590137411249,1.2223369706308809,0.0412499950671187,1.0,3,0,300.0,0.0857142857142857
D028,1,0.2678249340751741,1.2091312566110186,0.1447329460413615,0.9,5,1,101.42,0.5
D029,1,0.6305806659186873,1.506387684430895,0.5076447990102634,1.0,5,1,42.57,1.0
D030,0,0.0394152948634122,1.2246363838220298,0.0212696384414945,0.9859154929577464,3,0,300.0,0.0422535211267605
D031,1,0.2113780306736453,1.228002705349285,0.1187718656492696,0.8571428571428572,5,1,166.23,0.3571428571428571
D032,0,0.0552035731174398,1.2290207234810742,0.0328491076131503,0.9782608695652174,3,0,300.0,0.0652173913043478
D033,0,0.0727961839172575,1.2229024447480443,0.0401199849500254,0.9722222222222222,3,0,300.0,0.0833333333333333
D034,0,0.1093820982550827,1.228259106950036,0.0667495826702968,1.0,5,1,171.42,0.1851851851851851
D035,0,0.0912927367715728,1.2255385984481153,0.0544005334889665,1.0,5,1,254.69,0.1470588235294117
D036,0,0.0823321544958764,1.2209384679529398,0.0443167083854581,0.975609756097561,5,1,280.19,0.1219512195121951
D037,0,0.0959283002421977,1.220494741597154,0.0534588530819113,0.9705882352941176,5,1,277.37,0.1470588235294117
D038,0,0.0723862678122825,1.2201191539921026,0.0379355656660937,0.9387755102040816,5,1,230.86,0.1020408163265306
D039,0,0.1257949966820287,1.2196554004124691,0.0720609376060886,1.0,5,1,142.15,0.2083333333333333
D040,0,0.0883797849018097,1.2188700811460242,0.0484561046872206,1.0,5,1,182.92,0.1351351351351351
D041,0,0.2074443115526819,1.2194926888376585,0.1302185029021777,1.0,5,1,151.11,0.4166666666666667
D042,0,0.1821419412793142,1.224550968381522,0.1178005501183908,1.0,5,1,174.62,0.3571428571428571
D043,0,0.0796173457054875,1.216203782315411,0.0412992409396967,0.9705882352941176,3,0,300.0,0.088235294117647
D044,1,0.2921193925385827,1.2150784868481708,0.1875016212845917,1.0,5,1,109.45,0.7142857142857143
D045,0,0.1816077992796476,1.225964918941098,0.1183707216296606,1.0,5,1,169.76,0.3571428571428571
D047,1,0.2499706570269779,1.2180096030479686,0.1619874037000356,1.0,5,1,101.52,0.5555555555555556
D048,1,0.2731744317707479,1.2128220966096872,0.1380673795204089,0.8181818181818181,5,1,138.89,0.4545454545454545
D049,0,0.0799251982596324,1.2197268848167313,0.0453630277960219,1.0,4,0,300.0,0.1111111111111111
D050,0,0.1684331948828685,1.2224669422300507,0.1038913612589699,1.0,5,1,155.72,0.3125
D051,0,0.1430604276770569,1.2236183918693877,0.0855982069931143,1.0,5,1,204.18,0.25
D052,0,0.1001218584663786,1.2141523616883,0.0489640188536253,0.9166666666666666,5,1,219.31,0.1388888888888889
D053,0,0.1325773876391313,1.2194859729198164,0.0695037957825723,0.92,5,1,143.01,0.2
D054,1,0.2345174228038411,1.2106246161321774,0.126838430220657,0.9166666666666666,5,1,150.6,0.4166666666666667
D055,0,0.1354831729823367,1.2112523801451636,0.0706439474684811,0.9583333333333334,5,1,106.48,0.2083333333333333
D057,0,0.0992329154754645,1.212326317709783,0.0530504479425871,1.0,5,1,144.77,0.1515151515151515
D058,0,0.0630101900360562,1.224104343547752,0.0337666780307878,0.9767441860465116,3,0,300.0,0.0697674418604651
D059,0,0.0642592749796608,1.2189110276633388,0.0339180895911662,0.9814814814814816,5,1,281.76,0.0925925925925925
D060,0,0.0903645263784415,1.2166469073545634,0.0482525678223144,0.972972972972973,5,1,285.56,0.1351351351351351
D061,1,0.407262747780808,1.2159014376005868,0.1895573089536169,0.7142857142857143,5,1,65.56,0.7142857142857143
D063,0,0.0458311874119246,1.2179149254817665,0.0238153665080382,0.9814814814814816,2,0,300.0,0.037037037037037
D065,0,0.0771776220832594,1.2138788148741368,0.0410837468323982,1.0,5,1,254.19,0.1136363636363636
D066,0,0.1598451189871235,1.217905532597073,0.0856441804498185,0.9,5,1,143.45,0.25
D067,0,0.073900980735991,1.2089568458967583,0.0377280066090251,0.9767441860465116,4,0,300.0,0.0930232558139534
D068,0,0.0699940544578238,1.215240690938041,0.0369838847619525,1.0,1,0,300.0,0.0357142857142857
D070,0,0.0755952081743659,1.22485811881638,0.0421174656860637,0.9655172413793104,2,0,300.0,0.0689655172413793
D071,0,0.0359010007773596,1.2202580313189266,0.0190306735220498,0.9830508474576272,1,0,300.0,0.0169491525423728
D072,0,0.0876063074464778,1.2219460621182363,0.0483256542504064,1.0,5,1,232.14,0.1351351351351351
D074,0,0.1695839868021641,1.2272416952423115,0.0990709375212976,0.9411764705882352,5,1,208.76,0.2941176470588235
D075,0,0.1271480606429743,1.218167570186696,0.0721378480563183,1.0,5,1,144.6,0.2083333333333333
D076,0,0.0750941749756733,1.2209110258571534,0.0417237379774333,1.0,3,0,300.0,0.088235294117647
D077,0,0.205024680728054,1.225562833125409,0.1334035841198706,1.0,5,1,102.48,0.4166666666666667
D078,0,0.0825909408416677,1.21750468065612,0.0452307900551411,1.0,5,1,294.88,0.125
D079,0,0.0716408189819584,1.2190894624531197,0.0369578081500089,0.9487179487179488,3,0,300.0,0.0769230769230769
D080,0,0.0491077583318911,1.2180613908071014,0.0256343139449882,0.9846153846153848,4,0,300.0,0.0615384615384615
D082,0,0.1134955269984829,1.232302113298965,0.0740265328340222,1.0,5,1,218.57,0.2
D083,0,0.1045670616469027,1.2240195275884806,0.0626459151308335,1.0,5,1,198.73,0.1724137931034483
D084,0,0.0904681634870999,1.2211767698203644,0.05203503317875,1.0,2,0,300.0,0.0869565217391304
D085,0,0.1143528186889433,1.2139536207679762,0.0609568154670113,1.0,5,1,101.35,0.1785714285714285
D086,0,0.0665017802301326,1.2210335590876915,0.036609446082697,0.9803921568627452,5,1,293.48,0.0980392156862745
D087,0,0.0417176897416352,1.2143557391272322,0.0190217441110464,0.9137931034482758,1,0,300.0,0.0172413793103448
D088,0,0.1411581952662819,1.2181136042786394,0.0782778021998798,0.9545454545454546,5,1,155.04,0.2272727272727272
D089,0,0.0770212770376621,1.2256275476755154,0.0452555517299024,1.0,3,0,300.0,0.09375
D090,0,0.0731531276470541,1.2242232409365277,0.0397068805745193,0.9523809523809524,4,0,300.0,0.0952380952380952
D091,0,0.0531599943619164,1.220802212456646,0.0269639499611734,0.9361702127659576,2,0,300.0,0.0425531914893617
D092,0,0.1098287061326996,1.230637377237663,0.0720661471171295,1.0,5,1,181.49,0.1923076923076923
D093,0,0.0821348139931936,1.2205885739781006,0.0454543754829071,0.962962962962963,2,0,300.0,0.074074074074074
D094,0,0.0772120550401236,1.2245827568177416,0.0431002475036086,0.9767441860465116,5,1,294.26,0.1162790697674418
D095,0,0.0981986258405082,1.2292788361479263,0.0592061352188677,1.0,5,1,168.47,0.1612903225806451
D096,0,0.1036516879358882,1.2187650179306622,0.0604098945624445,1.0,5,1,169.78,0.1666666666666666
D097,0,0.1144515196405406,1.2153179482890784,0.0645321324247533,1.0,5,1,163.1,0.1851851851851851
D098,0,0.0670235148797336,1.223114452385674,0.0363527650181926,1.0,5,1,299.6,0.1
D099,0,0.1129722291606715,1.2286331246010944,0.0700461897674101,1.0,5,1,171.6,0.1923076923076923
D100,0,0.0921943583463242,1.2294031544510753,0.0563334963389055,1.0,5,1,210.29,0.1515151515151515
D102,0,0.0804918635244888,1.2190791340539104,0.0426320505479394,0.9736842105263158,4,0,300.0,0.1052631578947368
D103,0,0.0782461569412696,1.2194604038636017,0.0433235327296017,1.0,5,1,248.85,0.119047619047619
D104,0,0.0765205052897107,1.2182330582279384,0.0412818984052041,1.0,5,1,233.72,0.1136363636363636
D105,0,0.1096203215542945,1.2327503167538352,0.0715226990453392,1.0,5,1,245.75,0.1923076923076923
D106,0,0.130084801174686,1.21605462609156,0.0662682288398095,0.9230769230769232,5,1,181.43,0.1923076923076923
D107,0,0.0725939541450705,1.2241122596570682,0.0378018872305614,0.9387755102040816,5,1,286.06,0.1020408163265306
D108,0,0.0959828614188428,1.2177743371666934,0.0547261300266345,1.0,5,1,177.9,0.1515151515151515
D109,0,0.0560088467545825,1.21544642359143,0.0273101450033057,0.9487179487179488,1,0,300.0,0.0256410256410256
D110,0,0.1928763885063414,1.212491021173932,0.1115995310953153,1.0,5,1,124.13,0.3571428571428571
